Reporte de valorizado;Fecha Corte;8/09/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Codigo Articulo;Descripcion;Nombre Comercial;Cod Barras;Invima;CUM;CODIGO ATC;Unidades;Grupo;Sub Grupo;Familia;cod Bod;Bodega;ID Sistema;Estado;Presentacion;Embalaje;Principio Activo;Forma Farmaceutica;Concentracion;Unidad Medida Rips;Codigo Parametro contable;Descripcion Parametro contable;% IVA;Alto Costo;Cadena de Frio;Categoria;Precio Maximo;Precio Maximo VMR;Controlado;Costo Promedio;Ult Costo Compras;Valorizado Total;Mercancia en Consignación
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;60;NUTREO;General;General;280;DISP. MENNAR 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;25078,716;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;420;NUTREO;General;General;284;Disp. MENNAR SANTANDER 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;175551,012;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;315;NUTREO;General;General;288;Disp. MENNAR PUERTO TEJADA  1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;131663,259;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;30;NUTREO;General;General;292;Disp. MENNAR BOLIVAR 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;12539,358;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;330;NUTREO;General;General;296;Disp. MENNAR GUAPI 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;137932,938;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;60;NUTREO;General;General;300;Disp. MENNAR TIMBIQUI 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;25078,716;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;180;NUTREO;General;General;304;Disp. MENNAR MIRANDA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;75236,148;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;30;NUTREO;General;General;308;Disp. MENNAR EL TAMBO 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;12539,358;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;90;NUTREO;General;General;312;Disp. MENNAR TIMBIO 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;37618,074;NO
;N00002;ALIMENTO EN POLVO VITAMIX X 1 G CJA X 30 SOB - COMERCIAL;VITAMIX 15;7707362320014;RSA-0011781-2021;;;120;NUTREO;General;General;320;Disp. MENNAR ARGELIA 1;16736;N;SOBRE;30;;;;G;2;INSUMOS CON IVA DEL 19%;19;N;N;Comercial;0;0;NO;417,9786;417,6341;50157,432;NO
